State,Average Delivery Days,Delivered Orders,Delivered %,Late Orders,Late %,Average Rating
AC,16.865546218487395,119,100.00%,3,2.52%,4.07563025210084
AL,24.525252525252526,396,100.00%,85,21.46%,3.8387909319899243
AM,26.358620689655172,145,100.00%,4,2.76%,4.220689655172414
AP,27.17910447761194,67,100.00%,2,2.99%,4.242424242424242
BA,19.25677339901478,3248,100.00%,393,12.10%,3.9289684990735023
CE,21.221176470588237,1275,100.00%,176,13.80%,3.941732283464567
DF,12.886056191467222,1922,100.00%,111,5.78%,4.124805800103573
ES,15.687280040221216,1989,100.00%,211,10.61%,4.079614604462475
GO,15.534225424601132,1943,100.00%,127,6.54%,4.104155977424321
MA,21.436974789915965,714,100.00%,123,17.23%,3.8513323983169707
MG,11.937334743521946,11345,99.99%,518,4.57%,4.192314472060638
MS,15.544935805991441,701,100.00%,68,9.70%,4.169014084507042
MT,17.990950226244344,884,100.00%,53,6.00%,4.152272727272727
PA,23.740466101694917,944,100.00%,106,11.23%,3.910352187833511
PB,20.380582524271844,515,100.00%,54,10.49%,4.074363992172211
PE,18.385777218376337,1589,100.00%,152,9.57%,4.085750315258512
PI,19.3953488372093,473,100.00%,66,13.95%,3.9936034115138592
PR,11.916123778501628,4912,100.00%,197,4.01%,4.237367563162184
RJ,15.241376511646783,12318,99.98%,1495,12.14%,3.9621286320600717
RN,19.194915254237287,472,100.00%,43,9.11%,4.146496815286624
RO,19.278008298755186,241,100.00%,7,2.90%,4.158333333333333
RR,29.341463414634145,41,100.00%,5,12.20%,3.902439024390244
RS,15.24681647940075,5340,100.00%,324,6.07%,4.1847359582011565
SC,14.907527488018044,3546,99.97%,291,8.21%,4.130164119977363
SE,21.45508982035928,334,100.00%,51,15.27%,3.90990990990991
SP,8.701391463384494,40460,100.00%,1819,4.50%,4.24621699139551
TO,17.622710622710624,273,100.00%,27,9.89%,4.150735294117647
